month,pct,quantity_of_plasters,rx_items,actual_cost,net_cost
2016-07-01,99F,680.0,22,1521.04024,1641.14
2020-09-01,12F,12695.0,420,24349.808200000003,26206.339999999997
2020-09-01,04Y,615.0,19,1338.44867,1440.75
2020-09-01,01D,1055.0,35,2350.74496,2529.78
2020-09-01,01Y,1110.0,37,2468.77414,2657.07
2016-02-01,02T,3795.0,117,8481.78408,9158.58
2017-07-01,01X,15415.0,525,32240.26996,34824.93
2016-05-01,04C,6325.0,195,14214.512349999997,15264.34
2016-09-01,01X,14905.0,520,33330.868579999995,35970.659999999996
2016-09-01,00P,2350.0,74,5254.31819,5671.34
2020-04-01,02Y,2235.0,69,4984.77622,5361.21
2015-02-01,12F,4580.0,159,10237.683959999998,11053.000000000004
2015-02-01,02G,3680.0,125,8224.93843,8881.03
2015-02-01,15M,4490.0,134,10032.849600000001,10835.860000000002
2015-02-01,06L,6625.0,197,16737.748590000003,18078.440000000002
2019-04-01,04V,8700.0,271,17004.596230000003,18295.5
2018-05-01,03N,5735.0,174,12825.943920000002,13818.729999999998
2018-05-01,03R,905.0,27,2017.4183500000004,2173.21
2016-11-01,03W,5570.0,170,12456.076099999998,13442.270000000002
2015-10-01,11J,1505.0,52,3356.69736,3632.0699999999997
2015-07-01,02X,2390.0,81,5534.91276,5985.06
2019-10-01,52R,10715.0,301,23523.83221,25326.690000000002
2019-10-01,06Q,3810.0,105,7647.076730000001,8233.689999999999
2020-05-01,04V,9250.0,283,18362.39821,19749.519999999997
2018-09-01,05V,840.0,31,1822.0217499999999,1962.02
2018-09-01,99G,510.0,16,1143.01357,1230.79
2018-09-01,00N,790.0,25,1769.7800499999998,1906.53
2019-06-01,11X,2445.0,77,5164.01324,5554.89
2019-01-01,27D,7445.0,229,15049.84306,16207.929999999997
2019-01-01,05G,2140.0,60,4784.97378,5153.67
2019-12-01,99F,410.0,14,909.99433,978.6
2019-12-01,06N,5060.0,155,9997.070380000001,10750.77
2019-12-01,02E,3550.0,89,7914.279039999999,8513.04
2019-05-01,99G,590.0,22,1322.95081,1423.8600000000001
2017-12-01,18C,3005.0,86,6721.81733,7252.07
2017-12-01,78H,1485.0,47,3321.61028,3583.7999999999993
2017-12-01,70F,8705.0,254,19471.76647,21008.019999999997
2021-10-01,72Q,19115.0,578,40834.58499,43421.28
2019-11-01,X2C4Y,2035.0,67,4565.93384,4911.129999999999
2016-08-01,00Q,2985.0,110,6678.89501,7203.370000000001
2016-08-01,10R,745.0,23,1666.71974,1797.9299999999998
2020-02-01,15C,2920.0,100,6054.024170000001,6498.59
2020-03-01,01J,9520.0,396,18611.68447,20008.309999999998
2020-03-01,01T,5265.0,162,11746.742339999999,12641.04
2020-03-01,01K,2610.0,85,5812.6538900000005,6255.369999999999
